samplename	GEO_Run	layout	group	cell_line_group	cell_Line	treatment	timepoint	repl	biorep	orig_filename
A549_dBet6_1h_1	SRR6354081	SE	dBet6_1h	A549_dBet6_1h	A549	dBet6	1h	1	A549_dBet6_1h_1	data/example_data/A549_dBet6_1h_1.small_R1.fastq.gz
A549_dBet6_1h_2	SRR6354082	SE	dBet6_1h	A549_dBet6_1h	A549	dBet6	1h	2	A549_dBet6_1h_1	data/example_data/A549_dBet6_1h_2.small_R1.fastq.gz
A549_dBet6_6h_1	SRR6354083	SE	dBet6_6h	A549_dBet6_6h	A549	dBet6	6h	1	A549_dBet6_6h_1	data/example_data/A549_dBet6_6h_2.small_R1.fastq.gz
A549_dBet6_6h_2	SRR6354084	SE	dBet6_6h	A549_dBet6_6h	A549	dBet6	6h	2	A549_dBet6_6h_1	data/example_data/A549_dBet6_6h_1.small_R1.fastq.gz
A549_DMSO_1h_1	SRR6354085	SE	DMSO_1h	A549_DMSO_1h	A549	DMSO	1h	1	A549_DMSO_1h_1	data/example_data/A549_DMSO_1h_1.small_R1.fastq.gz
A549_DMSO_1h_2	SRR6354086	SE	DMSO_1h	A549_DMSO_1h	A549	DMSO	1h	2	A549_DMSO_1h_2	data/example_data/A549_DMSO_1h_2.small_R1.fastq.gz
A549_DMSO_6h_1	SRR6354087	SE	DMSO_6h	A549_DMSO_6h	A549	DMSO	6h	1	A549_DMSO_6h_1	data/example_data/A549_DMSO_6h_1.small_R1.fastq.gz
A549_DMSO_6h_2	SRR6354088	SE	DMSO_6h	A549_DMSO_6h	A549	DMSO	6h	2	A549_DMSO_6h_2	data/example_data/A549_DMSO_6h_2.small_R1.fastq.gz
A549_JQ1_1h_1	SRR6354089	SE	JQ1_1h	A549_JQ1_1h	A549	JQ1	1h	1	A549_JQ1_1h_1	data/example_data/A549_JQ1_1h_1.small_R1.fastq.gz
A549_JQ1_1h_2	SRR6354090	SE	JQ1_1h	A549_JQ1_1h	A549	JQ1	1h	2	A549_JQ1_1h_2	data/example_data/A549_JQ1_1h_2.small_R1.fastq.gz
A549_JQ1_6h_1	SRR6354091	SE	JQ1_6h	A549_JQ1_6h	A549	JQ1	6h	1	A549_JQ1_6h_1	data/example_data/A549_JQ1_6h_1.small_R1.fastq.gz
A549_JQ1_6h_2	SRR6354092	SE	JQ1_6h	A549_JQ1_6h	A549	JQ1	6h	2	A549_JQ1_6h_2	data/example_data/A549_JQ1_6h_2.small_R1.fastq.gz
HAP1_dBet6_1h_1	SRR6354109	SE	dBet6_1h	HAP1_dBet6_1h	HAP1	dBet6	1h	1	HAP1_dBet6_1h_1	data/example_data/HAP1_dBet6_1h_1.small_R1.fastq.gz
HAP1_dBet6_1h_2	SRR6354110	SE	dBet6_1h	HAP1_dBet6_1h	HAP1	dBet6	1h	2	HAP1_dBet6_1h_2	data/example_data/HAP1_dBet6_1h_2.small_R1.fastq.gz
HAP1_dBet6_6h_1	SRR6354111	SE	dBet6_6h	HAP1_dBet6_6h	HAP1	dBet6	6h	1	HAP1_dBet6_6h_1	data/example_data/HAP1_dBet6_6h_1.small_R1.fastq.gz
