1	chr1
2	chr2
3	chr3
4	chr4
5	chr5
6	chr6
7	chr7
8	chr8
9	chr9
10	chr10
11	chr11
12	chr12
13	chr13
14	chr14
15	chr15
16	chr16
17	chr17
18	chr18
19	chr19
20	chr20
21	chr21
22	chr22
23	chr23
24	chr24
25	chr25
26	chr26
27	chr27
28	chr28
30	chr30
31	chr31
32	chr32
33	chr33
W	chrW
Z	chrZ
MT	chrM
LGE64	chrLGE64
KQ759483.1	chr33_NT_463451v1_random
KQ759505.1	chrZ_NT_463578v1_random
KQ759404.1	chr4_NT_459800v1_random
AADN04000541.1	chrUn_NT_464122v1
KQ759506.1	chrZ_NT_463579v1_random
KQ759543.1	chrUn_NT_464155v1
KQ759405.1	chr4_NT_459801v1_random
AADN04000593.1	chrUn_NT_464123v1
KQ759507.1	chrZ_NT_463580v1_random
AADN04000612.1	chrW_NT_463468v1_random
KQ759527.1	chrUn_NT_464124v1
AADN04000623.1	chr4_NT_459802v1_random
KQ759508.1	chrZ_NT_463583v1_random
AADN04000624.1	chr33_NT_463452v1_random
AADN04000628.1	chr33_NT_463453v1_random
AADN04000631.1	chr3_NT_459020v1_random
KQ759484.1	chr33_NT_463454v1_random
AADN04000639.1	chr7_NT_461078v1_random
AADN04000640.1	chr16_NT_462548v1_random
KQ759509.1	chrZ_NT_463584v1_random
AADN04000646.1	chrW_NT_463469v1_random
KQ759528.1	chrUn_NT_464125v1
KQ759510.1	chrZ_NT_463586v1_random
AADN04000659.1	chrUn_NT_464126v1
AADN04000661.1	chrUn_NT_464127v1
AADN04000662.1	chrUn_NT_464128v1
AADN04000668.1	chr14_NT_462349v1_random
KQ759529.1	chrUn_NT_464129v1
KQ759530.1	chrUn_NT_464130v1
AADN04000677.1	chr19_NT_462717v1_random
AADN04000682.1	chr33_NT_463455v1_random
KQ759486.1	chrW_NT_463472v1_random
KQ759511.1	chrZ_NT_463588v1_random
KQ759531.1	chrUn_NT_464131v1
KQ759532.1	chrUn_NT_464132v1
KQ759480.1	chr30_NT_463422v1_random
KQ759534.1	chrUn_NT_464134v1
KQ759533.1	chrUn_NT_464133v1
AADN04000704.1	chr24_NT_463148v1_random
AADN04000706.1	chrUn_NT_464135v1
AADN04000708.1	chrUn_NT_464136v1
AADN04000710.1	chrUn_NT_464137v1
AADN04000712.1	chrW_NT_463474v1_random
AADN04000711.1	chrW_NT_463473v1_random
AADN04000717.1	chrZ_NT_463591v1_random
KQ759535.1	chrUn_NT_464138v1
KQ759536.1	chrUn_NT_464139v1
AADN04000729.1	chrUn_NT_464140v1
AADN04000732.1	chrUn_NT_464141v1
AADN04000736.1	chr6_NT_460833v1_random
AADN04000737.1	chr33_NT_463456v1_random
KQ759537.1	chrUn_NT_464142v1
AADN04000744.1	chrUn_NT_464143v1
AADN04000745.1	chrUn_NT_464144v1
KQ759334.1	chr1_NT_456094v1_random
KQ759538.1	chrUn_NT_464145v1
AADN04000750.1	chr33_NT_463457v1_random
AADN04000751.1	chr27_NT_463313v1_random
AADN04000752.1	chrUn_NT_464146v1
AADN04000753.1	chrZ_NT_463597v1_random
KQ759539.1	chrUn_NT_464148v1
AADN04000754.1	chrUn_NT_464147v1
KQ759487.1	chrW_NT_463475v1_random
KQ759540.1	chrUn_NT_464149v1
AADN04000767.1	chrUn_NT_464151v1
KQ759541.1	chrUn_NT_464150v1
KQ759466.1	chr20_NT_462795v1_random
AADN04000772.1	chr5_NT_460417v1_random
KQ759365.1	chr2_NT_457873v1_random
AADN04000776.1	chr33_NT_463458v1_random
AADN04000777.1	chrUn_NT_464152v1
KQ759542.1	chrUn_NT_464153v1
AADN04000780.1	chrUn_NT_464154v1
AADN04000785.1	chr33_NT_463459v1_random
AADN04000787.1	chrUn_NT_464156v1
AADN04000789.1	chrUn_NT_464158v1
AADN04000788.1	chrUn_NT_464157v1
AADN04000790.1	chrUn_NT_464159v1
AADN04000792.1	chr2_NT_457874v1_random
KQ759392.1	chr3_NT_459021v1_random
AADN04000799.1	chr1_NT_456097v1_random
AADN04000798.1	chr1_NT_456096v1_random
KQ759335.1	chr1_NT_456095v1_random
AADN04000801.1	chrUn_NT_464160v1
AADN04000802.1	chrUn_NT_464161v1
AADN04000803.1	chrUn_NT_464162v1
KQ759544.1	chrUn_NT_464163v1
KQ759454.1	chr13_NT_462186v1_random
KQ759545.1	chrUn_NT_464164v1
KQ759481.1	chr32_NT_463442v1_random
AADN04000814.1	chrUn_NT_464165v1
AADN04000815.1	chr17_NT_462569v1_random
KQ759488.1	chrW_NT_463476v1_random
KQ759546.1	chrUn_NT_464166v1
AADN04000827.1	chrUn_NT_464167v1
AADN04000828.1	chrUn_NT_464168v1
AADN04000829.1	chrUn_NT_464169v1
KQ759489.1	chrW_NT_463477v1_random
AADN04000831.1	chrZ_NT_463600v1_random
AADN04000832.1	chr14_NT_462350v1_random
AADN04000833.1	chrUn_NT_464170v1
AADN04000834.1	chrUn_NT_464171v1
AADN04000835.1	chrUn_NT_464172v1
AADN04000839.1	chr13_NT_462187v1_random
KQ759547.1	chrUn_NT_464173v1
AADN04000838.1	chr16_NT_462549v1_random
KQ759548.1	chrUn_NT_464174v1
AADN04000843.1	chrW_NT_463478v1_random
KQ759549.1	chrUn_NT_464175v1
AADN04000848.1	chr4_NT_459803v1_random
AADN04000849.1	chrUn_NT_464176v1
AADN04000850.1	chr2_NT_457875v1_random
KQ759455.1	chr13_NT_462188v1_random
KQ759513.1	chrZ_NT_463598v1_random
AADN04000858.1	chrLGE64_NT_464104v1_random
AADN04000861.1	chrUn_NT_464177v1
AADN04000863.1	chrUn_NT_464178v1
AADN04000864.1	chrUn_NT_464179v1
AADN04000865.1	chr2_NT_457876v1_random
AADN04000866.1	chr1_NT_456099v1_random
AADN04000867.1	chrUn_NT_464180v1
AADN04000868.1	chrUn_NT_464181v1
AADN04000869.1	chr27_NT_463314v1_random
AADN04000857.1	chr1_NT_456098v1_random
KQ759514.1	chrZ_NT_463601v1_random
AADN04000872.1	chr32_NT_463443v1_random
AADN04000873.1	chrUn_NT_464182v1
AADN04000874.1	chr1_NT_456100v1_random
AADN04000875.1	chrUn_NT_464183v1
AADN04000876.1	chrUn_NT_464184v1
AADN04000877.1	chrUn_NT_464185v1
AADN04000879.1	chrW_NT_463479v1_random
KQ759550.1	chrUn_NT_464186v1
AADN04000878.1	chrZ_NT_463602v1_random
AADN04000886.1	chr14_NT_462351v1_random
KQ759490.1	chrW_NT_463480v1_random
AADN04000890.1	chr6_NT_460834v1_random
AADN04000891.1	chr9_NT_461576v1_random
AADN04000892.1	chrZ_NT_463604v1_random
AADN04000894.1	chrUn_NT_464187v1
AADN04000895.1	chr6_NT_460835v1_random
AADN04000896.1	chrUn_NT_464188v1
AADN04000898.1	chr13_NT_462189v1_random
AADN04000897.1	chrUn_NT_464189v1
KQ759551.1	chrUn_NT_464190v1
AADN04000901.1	chrUn_NT_464191v1
AADN04000902.1	chrLGE64_NT_464105v1_random
AADN04000903.1	chrUn_NT_464192v1
AADN04000905.1	chr4_NT_459804v1_random
AADN04000906.1	chrUn_NT_464193v1
AADN04000908.1	chr2_NT_457877v1_random
AADN04000907.1	chrLGE64_NT_464106v1_random
AADN04000909.1	chr1_NT_456101v1_random
AADN04000910.1	chrUn_NT_464194v1
AADN04000911.1	chr2_NT_457878v1_random
AADN04000913.1	chrUn_NT_464195v1
AADN04000914.1	chrUn_NT_464196v1
AADN04000915.1	chrUn_NT_464197v1
AADN04000918.1	chrUn_NT_464198v1
KQ759552.1	chrUn_NT_464199v1
AADN04000922.1	chrUn_NT_464200v1
AADN04000923.1	chrUn_NT_464201v1
AADN04000928.1	chr10_NT_461734v1_random
AADN04000924.1	chrUn_NT_464202v1
KQ759471.1	chr22_NT_463002v1_random
AADN04000927.1	chrUn_NT_464203v1
KQ759553.1	chrUn_NT_464204v1
AADN04000931.1	chrUn_NT_464205v1
AADN04000932.1	chrUn_NT_464206v1
AADN04000933.1	chrUn_NT_464207v1
AADN04000935.1	chrUn_NT_464208v1
KQ759554.1	chrUn_NT_464209v1
AADN04000938.1	chr1_NT_456102v1_random
AADN04000939.1	chrUn_NT_464210v1
KQ759419.1	chr5_NT_460418v1_random
AADN04000941.1	chr11_NT_461881v1_random
AADN04000942.1	chrUn_NT_464211v1
KQ759515.1	chrZ_NT_463605v1_random
AADN04000945.1	chrUn_NT_464212v1
AADN04000948.1	chrZ_NT_463606v1_random
AADN04000950.1	chrUn_NT_464213v1
AADN04000951.1	chrUn_NT_464214v1
AADN04000952.1	chrUn_NT_464215v1
AADN04000953.1	chrUn_NT_464216v1
AADN04000954.1	chrUn_NT_464217v1
AADN04000955.1	chrUn_NT_464218v1
AADN04000956.1	chr1_NT_456103v1_random
KQ759555.1	chrUn_NT_464219v1
AADN04000959.1	chrUn_NT_464220v1
AADN04000961.1	chr3_NT_459022v1_random
AADN04000963.1	chrUn_NT_464221v1
KQ759556.1	chrUn_NT_464222v1
KQ759366.1	chr2_NT_457879v1_random
AADN04000968.1	chrUn_NT_464223v1
AADN04000969.1	chrUn_NT_464224v1
AADN04000970.1	chrUn_NT_464225v1
AADN04000971.1	chrUn_NT_464226v1
KQ759443.1	chr10_NT_461735v1_random
AADN04000973.1	chr1_NT_456104v1_random
AADN04000974.1	chrUn_NT_464227v1
AADN04000975.1	chrUn_NT_464228v1
AADN04000977.1	chr6_NT_460836v1_random
AADN04000980.1	chrUn_NT_464229v1
AADN04000981.1	chrUn_NT_464230v1
KQ759491.1	chrW_NT_463482v1_random
KQ759367.1	chr2_NT_457880v1_random
AADN04000986.1	chrUn_NT_464231v1
AADN04000988.1	chr1_NT_456105v1_random
AADN04000987.1	chrUn_NT_464232v1
KQ759485.1	chr33_NT_463460v1_random
AADN04000989.1	chrUn_NT_464233v1
AADN04000990.1	chr5_NT_460419v1_random
AADN04000995.1	chrUn_NT_464235v1
AADN04000994.1	chrUn_NT_464234v1
AADN04000996.1	chrUn_NT_464236v1
AADN04000997.1	chrUn_NT_464237v1
KQ759557.1	chrUn_NT_464238v1
AADN04001000.1	chr1_NT_456106v1_random
AADN04001001.1	chrUn_NT_464239v1
KQ759516.1	chrZ_NT_463607v1_random
AADN04001002.1	chrW_NT_463483v1_random
KQ759467.1	chr20_NT_462796v1_random
AADN04001008.1	chrUn_NT_464240v1
AADN04001009.1	chrUn_NT_464241v1
AADN04001011.1	chrUn_NT_464242v1
AADN04001010.1	chrZ_NT_463608v1_random
AADN04001012.1	chrUn_NT_464243v1
AADN04001013.1	chrUn_NT_464244v1
AADN04001014.1	chrUn_NT_464245v1
AADN04001015.1	chrUn_NT_464246v1
AADN04001016.1	chrUn_NT_464247v1
AADN04001020.1	chrUn_NT_464248v1
AADN04001021.1	chrUn_NT_464249v1
AADN04001022.1	chrUn_NT_464250v1
